"trip_id","route_id","timestamp","latitude","longitude","speed"
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0820","4_4-CS-TERM",1778483886,38.63654,-9.03167,10.68
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0530","4_4-CS-TERM",1778647142,38.64207,-9.05854,2.49
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778481782,38.63646,-9.03223,2.98
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0810","4_4-CS-TERM",1778485804,38.65202,-9.07821,7.49
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0640","4_4-CS-TERM",1778738762,38.64169,-9.04844,4.55
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0810","4_4-CS-TERM",1778656442,38.6338,-9.04165,13.28
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0640","4_4-CS-TERM",1778738882,38.63273,-9.03277,4.72
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0610","4_4-CS-TERM",1778822162,38.63579,-9.04362,21.68
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0740","4_4-CS-TERM",1778740621,38.63637,-9.03185,6.89
"20260512_DUPE_4-CS-TERM_0_DUPE_18_0530","4_4-CS-TERM",1778561462,38.63483,-9.03243,2.58
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0720","4_4-CS-TERM",1778740262,38.64911,-9.06289,1.33
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0900","4_4-CS-TERM",1778660581,38.65277,-9.07859,5.79
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0810","4_4-CS-TERM",1778483102,38.63651,-9.03162,2.78
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778738642,38.65096,-9.06713,6.14
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0610","4_4-CS-TERM",1778824381,38.64156,-9.05801,11.83
"20260512_DUPE_4-CS-TERM_0_DUPE_18_0730","4_4-CS-TERM",1778570462,38.65094,-9.0643,10.44
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0800","4_4-CS-TERM",1778655542,38.63508,-9.03253,9.05
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0530","4_4-CS-TERM",1778473502,38.63646,-9.03148,5.15
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0850","4_4-CS-TERM",1778831882,38.64124,-9.04843,8.77
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0900","4_4-CS-TERM",1778833442,38.65239,-9.07778,6.85
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0610","4_4-CS-TERM",1778735942,38.64214,-9.0587,1.22
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0900","4_4-CS-TERM",1778832303,38.63579,-9.04362,8.8
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0610","4_4-CS-TERM",1778821742,38.63647,-9.03228,2.12
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0810","4_4-CS-TERM",1778483581,38.63126,-9.03755,6.69
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778825403,38.63506,-9.03264,1.3
"20260512_DUPE_4-CS-TERM_0_DUPE_18_0730","4_4-CS-TERM",1778569022,38.63825,-9.04606,0.69
"20260512_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778565362,38.64129,-9.04841,0.24
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778824742,38.64147,-9.05769,11.57
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0730","4_4-CS-TERM",1778740502,38.63811,-9.04584,2.31
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778652362,38.65372,-9.07511,2.83
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0610","4_4-CS-TERM",1778478542,38.65203,-9.07819,12.56
"20260512_DUPE_4-CS-TERM_0_DUPE_18_0530","4_4-CS-TERM",1778562482,38.65217,-9.07783,1.18
"20260512_DUPE_4-CS-TERM_0_DUPE_18_0720","4_4-CS-TERM",1778566982,38.63232,-9.0343,13.37
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0840","4_4-CS-TERM",1778830682,38.63487,-9.0428,6.08
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0610","4_4-CS-TERM",1778651762,38.64193,-9.05852,0.88
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0720","4_4-CS-TERM",1778480285,38.63649,-9.03206,10.24
